fecha,plato,cantidad,monto_total,anio,mes,dia,dow,fin_de_semana,feriado,evento_Ano_Nuevo,evento_Viernes_Santo,evento_Sabado_Santo,evento_Dia_del_Trabajador,evento_Dia_del_Pollo_a_la_Brasa,evento_San_Pedro_y_San_Pablo,evento_Fiestas_Patrias_1,evento_Fiestas_Patrias_2,evento_Santa_Rosa_de_Lima,evento_Combate_de_Angamos,evento_Dia_de_Todos_los_Santos,evento_Inmaculada_Concepcion,evento_Navidad,evento_Dia_del_Padre,evento_Dia_del_Ceviche,temp_invierno,temp_otono,temp_primavera,temp_verano,clima_Lluvioso,clima_Nublado,clima_Soleado,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_28,rolling_std_28,dow_sin,dow_cos,mes_sin,mes_cos
2021-01-15,1,13.0,338.0,2021,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,21.0,15.0,30.0,,19.0,4.123105625617669,19.642857142857142,5.415180128506884,,,-0.433883739117558,-0.9009688679024191,0.0,1.0
2021-01-16,1,27.0,702.0,2021,1,16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,13.0,13.0,18.0,,18.714285714285715,4.498677054212194,18.428571428571427,4.783212401631449,,,-0.9749279121818236,-0.2225209339563146,0.0,1.0
2021-01-17,1,19.0,494.0,2021,1,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,27.0,20.0,25.0,,20.714285714285715,4.644505202002539,19.071428571428573,5.298247688757915,,,-0.7818314824680299,0.6234898018587334,0.0,1.0
2021-01-18,1,15.0,390.0,2021,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,19.0,17.0,20.0,,20.571428571428573,4.685336802448787,18.642857142857142,5.017004053250274,,,0.0,1.0,0.0,1.0
2021-01-19,1,17.0,442.0,2021,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,15.0,23.0,20.0,,20.285714285714285,4.990467102863415,18.285714285714285,5.090391724817248,,,0.7818314824680298,0.6234898018587336,0.0,1.0
2021-01-20,1,17.0,442.0,2021,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,17.0,24.0,21.0,,19.428571428571427,4.961758520831871,18.071428571428573,5.075799076375687,,,0.9749279121818236,-0.22252093395631434,0.0,1.0
2021-01-21,1,12.0,312.0,2021,1,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,17.0,21.0,8.0,,18.428571428571427,4.577377082170639,17.785714285714285,5.010428684693119,,,0.43388373911755823,-0.900968867902419,0.0,1.0
2021-01-22,1,21.0,546.0,2021,1,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,12.0,13.0,15.0,,17.142857142857142,4.980915960897537,18.071428571428573,4.497251908140653,,,-0.433883739117558,-0.9009688679024191,0.0,1.0
2021-01-23,1,21.0,546.0,2021,1,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,False,False,21.0,27.0,13.0,,18.285714285714285,4.785891965429427,18.5,4.46783375491283,,,-0.9749279121818236,-0.2225209339563146,0.0,1.0
2021-01-24,1,18.0,468.0,2021,1,24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,True,21.0,19.0,20.0,,17.428571428571427,3.2586880211286946,19.071428571428573,4.214704765904283,,,-0.7818314824680299,0.6234898018587334,0.0,1.0
