fecha,plato,cantidad,monto_total,anio,mes,dia,dow,fin_de_semana,feriado,evento_Ano_Nuevo,evento_Dia_del_Amor_y_la_Amistad,evento_Jueves_Santo,evento_Viernes_Santo,evento_Dia_del_Trabajador,evento_Dia_de_la_Madre,evento_Batalla_de_Arica_/_Dia_de_la_Bandera,evento_Dia_del_Padre,evento_San_Pedro_y_San_Pablo,evento_Independencia_del_Peru,evento_Fiestas_Patrias,evento_Santa_Rosa_de_Lima,evento_Combate_de_Angamos,evento_Todos_los_Santos,evento_Inmaculada_Concepcion,evento_Navidad,evento_Fin_de_Ano,clima_Lluvioso,clima_Nublado,clima_Soleado,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_28,rolling_std_28,dow_sin,dow_cos,mes_sin,mes_cos
2019-01-29,Arroz Chaufa,23,506.0,2019,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,16.0,18.0,21.0,35.0,23.142857142857142,7.1978832867395,27.857142857142858,10.6688413534074,28.75,8.68640913748044,0.7818314824680298,0.6234898018587336,0.0,1.0
2019-01-30,Arroz Chaufa,39,858.0,2019,1,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,23.0,27.0,38.0,16.0,23.857142857142858,6.841748592978538,28.0,10.583005244258365,28.321428571428573,8.662621155920721,0.9749279121818236,-0.2225209339563143,0.0,1.0
2019-01-31,Arroz Chaufa,11,242.0,2019,1,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,39.0,15.0,32.0,19.0,25.571428571428573,8.941609528064895,28.071428571428573,10.658794026994336,29.142857142857142,8.540597106865475,0.4338837391175582,-0.900968867902419,0.0,1.0
2019-02-01,Arroz Chaufa,13,286.0,2019,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,11.0,34.0,25.0,30.0,25.0,9.814954576223636,26.571428571428573,11.5072838853303,28.857142857142858,9.013217807092824,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387
2019-02-02,Arroz Chaufa,30,660.0,2019,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,13.0,23.0,49.0,28.0,22.0,9.814954576223638,25.714285714285715,12.066664642907568,28.25,9.493174936256592,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387
2019-02-03,Arroz Chaufa,45,990.0,2019,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,30.0,29.0,18.0,29.0,23.0,10.279429296739517,24.357142857142858,10.16485001483917,28.321428571428573,9.49874678450744,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387
2019-02-04,Arroz Chaufa,31,682.0,2019,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,45.0,16.0,45.0,28.0,25.285714285714285,13.199927849730663,26.285714285714285,11.357332917063363,28.892857142857142,10.0086602711492,0.0,1.0,0.4999999999999999,0.8660254037844387
2019-02-05,Arroz Chaufa,31,682.0,2019,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,31.0,23.0,18.0,25.0,27.428571428571427,12.647228192468928,25.285714285714285,10.133179100426416,29.0,10.014803857105552,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387
2019-02-06,Arroz Chaufa,39,858.0,2019,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,31.0,39.0,27.0,35.0,28.571428571428573,12.541360144964909,26.214285714285715,10.009061828229392,29.214285714285715,9.990206844917315,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387
2019-02-07,Arroz Chaufa,35,770.0,2019,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,39.0,11.0,15.0,34.0,28.571428571428573,12.541360144964909,27.071428571428573,10.579110662885723,29.357142857142858,10.103957001588393,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387
2019-02-08,Arroz Chaufa,27,594.0,2019,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,35.0,13.0,34.0,36.0,32.0,9.949874371066194,28.5,10.165931036858057,29.392857142857142,10.122725755426584,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387
2019-02-09,Arroz Chaufa,31,682.0,2019,2,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,27.0,30.0,23.0,28.0,34.0,6.191391873668892,28.0,10.0460478260397,29.071428571428573,10.04776950161935,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387
2019-02-10,Arroz Chaufa,40,880.0,2019,2,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,31.0,45.0,29.0,38.0,34.142857142857146,6.094494002200428,28.571428571428573,9.966978445881148,29.178571428571427,10.051915503574692,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387
2019-02-11,Arroz Chaufa,18,396.0,2019,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,40.0,31.0,16.0,34.0,33.42857142857143,4.755948656056694,29.357142857142858,10.42635080978917,29.25,10.123771073110095,0.0,1.0,0.4999999999999999,0.8660254037844387
2019-02-12,Arroz Chaufa,33,726.0,2019,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,18.0,31.0,23.0,21.0,31.571428571428573,7.56873267368548,29.5,10.241319025624358,28.678571428571427,10.295822854632272,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387
2019-02-13,Arroz Chaufa,32,704.0,2019,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,33.0,39.0,39.0,38.0,31.857142857142858,7.581305327988733,30.214285714285715,10.100864939571888,29.107142857142858,10.213786201572292,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387
2019-02-14,Arroz Chaufa,12,264.0,2019,2,14,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,32.0,35.0,11.0,32.0,30.857142857142858,6.914443130833001,29.714285714285715,9.801323077316352,28.892857142857142,10.082398618620564,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387
2019-02-15,Arroz Chaufa,38,836.0,2019,2,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,12.0,27.0,13.0,25.0,27.571428571428573,9.57178393085884,29.785714285714285,9.65703069055089,28.178571428571427,10.551649235418203,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387
2019-02-16,Arroz Chaufa,53,1166.0,2019,2,16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,38.0,31.0,30.0,49.0,29.142857142857142,10.33486931748649,31.571428571428573,8.563916121766923,28.642857142857142,10.69168692546547,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387
2019-02-17,Arroz Chaufa,25,550.0,2019,2,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,53.0,40.0,45.0,18.0,32.285714285714285,13.768494056047976,33.214285714285715,10.274528410877757,28.785714285714285,10.996151322864918,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387
2019-02-18,Arroz Chaufa,28,616.0,2019,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,25.0,18.0,31.0,45.0,30.142857142857142,13.53302838033147,31.785714285714285,9.893110045563349,29.035714285714285,10.820016234865422,0.0,1.0,0.4999999999999999,0.8660254037844387
2019-02-19,Arroz Chaufa,27,594.0,2019,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,28.0,33.0,31.0,18.0,31.571428571428573,12.528063735165974,31.571428571428573,9.943798111341607,28.428571428571427,10.35813715351391,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387
