fecha,día_semana,mes,estación,evento,feriado,clima,temperatura (°C)
2019-01-01,Lunes,Enero,Verano,Año Nuevo,1,Soleado,28.19439219876026
2019-01-02,Martes,Enero,Verano,Ninguno,0,Nublado,30.29298959955691
2019-01-03,Miércoles,Enero,Verano,Ninguno,0,Soleado,26.47088673943825
2019-01-04,Jueves,Enero,Verano,Ninguno,0,Nublado,30.87811175818378
2019-01-05,Viernes,Enero,Verano,Ninguno,0,Nublado,29.93032152638477
2019-01-06,Sábado,Enero,Verano,Ninguno,0,Nublado,26.64056816337773
2019-01-07,Domingo,Enero,Verano,Ninguno,0,Nublado,27.85399012116291
2019-01-08,Lunes,Enero,Verano,Ninguno,0,Soleado,30.63382494424301
2019-01-09,Martes,Enero,Verano,Ninguno,0,Nublado,30.11380806635415
2019-01-10,Miércoles,Enero,Verano,Ninguno,0,Nublado,28.21707099413666
2019-01-11,Jueves,Enero,Verano,Ninguno,0,Soleado,28.77292393507917
2019-01-12,Viernes,Enero,Verano,Ninguno,0,Soleado,26.31908628052088
2019-01-13,Sábado,Enero,Verano,Ninguno,0,Nublado,29.15832199561033
2019-01-14,Domingo,Enero,Verano,Ninguno,0,Nublado,29.79043870042687
2019-01-15,Lunes,Enero,Verano,Ninguno,0,Nublado,30.85349012197452
2019-01-16,Martes,Enero,Verano,Ninguno,0,Soleado,30.46560560661099
2019-01-17,Miércoles,Enero,Verano,Ninguno,0,Nublado,26.97319353925984
2019-01-18,Jueves,Enero,Verano,Ninguno,0,Nublado,28.33360501863517
2019-01-19,Viernes,Enero,Verano,Ninguno,0,Soleado,26.77144746033774
2019-01-20,Sábado,Enero,Verano,Ninguno,0,Soleado,29.41524476621227
2019-01-21,Domingo,Enero,Verano,Ninguno,0,Nublado,30.83754866217105
2019-01-22,Lunes,Enero,Verano,Ninguno,0,Nublado,27.62912679069076
2019-01-23,Martes,Enero,Verano,Ninguno,0,Nublado,28.34777905637904
2019-01-24,Miércoles,Enero,Verano,Ninguno,0,Soleado,26.94735679542143
2019-01-25,Jueves,Enero,Verano,Ninguno,0,Soleado,28.37852463112967
2019-01-26,Viernes,Enero,Verano,Ninguno,0,Soleado,27.13454674525442
2019-01-27,Sábado,Enero,Verano,Ninguno,0,Nublado,28.18575959436165
2019-01-28,Domingo,Enero,Verano,Ninguno,0,Nublado,30.16339098028919
2019-01-29,Lunes,Enero,Verano,Ninguno,0,Nublado,27.5618332069102
2019-01-30,Martes,Enero,Verano,Ninguno,0,Nublado,30.16129900697601
2019-01-31,Miércoles,Enero,Verano,Ninguno,0,Soleado,27.93739189515087
2019-02-01,Jueves,Febrero,Verano,Ninguno,0,Nublado,27.44164051965122
2019-02-02,Viernes,Febrero,Verano,Ninguno,0,Soleado,26.69876241804655
2019-02-03,Sábado,Febrero,Verano,Ninguno,0,Nublado,26.99954101237554
2019-02-04,Domingo,Febrero,Verano,Ninguno,0,Nublado,29.93462188751069
2019-02-05,Lunes,Febrero,Verano,Ninguno,0,Soleado,29.32425428296016
2019-02-06,Martes,Febrero,Verano,Ninguno,0,Soleado,29.90364515510984
2019-02-07,Miércoles,Febrero,Verano,Ninguno,0,Nublado,28.2945788776917
2019-02-08,Jueves,Febrero,Verano,Ninguno,0,Nublado,26.69898499063829
2019-02-09,Viernes,Febrero,Verano,Ninguno,0,Nublado,26.57265036767987
2019-02-10,Sábado,Febrero,Verano,Ninguno,0,Soleado,28.35548103071566
2019-02-11,Domingo,Febrero,Verano,Ninguno,0,Nublado,28.82618053240594
2019-02-12,Lunes,Febrero,Verano,Ninguno,0,Soleado,29.17359160000295
2019-02-13,Martes,Febrero,Verano,Ninguno,0,Nublado,28.76789700328998
2019-02-14,Miércoles,Febrero,Verano,Día del Amor y la Amistad,0,Soleado,27.51975049031306
2019-02-15,Jueves,Febrero,Verano,Ninguno,0,Nublado,26.1540891728397
2019-02-16,Viernes,Febrero,Verano,Ninguno,0,Soleado,27.07292336409765
2019-02-17,Sábado,Febrero,Verano,Ninguno,0,Soleado,28.04264321862318
2019-02-18,Domingo,Febrero,Verano,Ninguno,0,Nublado,27.1696974293267
2019-02-19,Lunes,Febrero,Verano,Ninguno,0,Nublado,26.29151370844533
2019-02-20,Martes,Febrero,Verano,Ninguno,0,Nublado,27.46796878883342
2019-02-21,Miércoles,Febrero,Verano,Ninguno,0,Soleado,29.30958257363448
2019-02-22,Jueves,Febrero,Verano,Ninguno,0,Soleado,29.91949104553207
2019-02-23,Viernes,Febrero,Verano,Ninguno,0,Nublado,29.32156770163694
2019-02-24,Sábado,Febrero,Verano,Ninguno,0,Soleado,30.07010192333017
