Fecha_llegada,Fecha_registro,Proveedor,Insumo,Unidad,Cantidad_entrada,Costo_unitario,Vida_util_dias,Fecha_vencimiento,Ubicación,Lote_ID,Stock_actual_lote,Capacidad_utilizada_%,Estado_lote,Observaciones
2019-01-05,2019-01-05,Proveedor A,Pollo entero,kg,85.46485325768116,19.17821993820237,31,2019-02-05,A2,L162-0002,85.46485325768116,,Abierto,
2019-01-07,2019-01-07,Proveedor A,Carne de res,kg,107.08673369531927,16.467340833438666,22,2019-01-29,A1,L595-0002,107.08673369531927,,Abierto,
2019-01-08,2019-01-08,Proveedor A,Papa blanca,kg,102.14812209383203,9.25455790048458,38,2019-02-15,B2,L336-0002,102.14812209383203,,Abierto,
2019-01-08,2019-01-08,Proveedor A,Pescado blanco,kg,101.98115529294942,13.83061002746754,37,2019-02-14,D1,L189-0002,101.98115529294942,,Abierto,
2019-01-09,2019-01-09,Proveedor A,Papa amarilla,kg,97.45343326426223,21.04218498053468,39,2019-02-17,B1,L057-0002,97.45343326426223,,Abierto,
2019-01-09,2019-01-09,Proveedor A,Pollo entero,kg,90.11960671956965,18.90822246213295,21,2019-01-30,A2,L162-0003,90.11960671956965,,Abierto,
2019-01-09,2019-01-09,Proveedor A,Arroz,kg,87.52484638895045,14.273968098799642,27,2019-02-05,E1,L441-0002,87.52484638895045,,Abierto,
2019-01-10,2019-01-10,Proveedor A,Ensalada,kg,102.2172682241051,20.37974830361021,38,2019-02-17,C2,L281-0002,102.2172682241051,,Abierto,
2019-01-12,2019-01-12,Proveedor A,Cebolla roja,kg,101.30469065820093,9.849410072694592,25,2019-02-06,C1,L875-0002,101.30469065820093,,Abierto,
2019-01-12,2019-01-12,Proveedor A,Pollo entero,kg,83.56817314848224,15.70671128031047,24,2019-02-05,A2,L162-0004,83.56817314848224,,Abierto,
2019-01-16,2019-01-16,Proveedor A,Carne de res,kg,109.76998607373156,9.11159616751275,35,2019-02-20,A1,L595-0003,109.76998607373156,,Abierto,
2019-01-16,2019-01-16,Proveedor A,Pollo entero,kg,93.8781280758491,19.750024962194967,29,2019-02-14,A2,L162-0005,93.8781280758491,,Abierto,
2019-01-17,2019-01-17,Proveedor A,Papa blanca,kg,108.6388891538959,18.178478838203027,20,2019-02-06,B2,L336-0003,108.6388891538959,,Abierto,
2019-01-18,2019-01-18,Proveedor A,Papa amarilla,kg,99.49724792998055,22.89104453788183,35,2019-02-22,B1,L057-0003,99.49724792998055,,Abierto,
2019-01-19,2019-01-19,Proveedor A,Arroz,kg,108.19702198755812,16.965721165363092,29,2019-02-17,E1,L441-0003,108.19702198755812,,Abierto,
2019-01-20,2019-01-20,Proveedor A,Pollo entero,kg,92.5141942602235,7.410451575729288,34,2019-02-23,A2,L162-0006,92.5141942602235,,Abierto,
2019-01-21,2019-01-21,Proveedor A,Pescado blanco,kg,95.66520562161423,7.488751145937127,39,2019-03-01,D1,L189-0003,95.66520562161423,,Abierto,
2019-01-21,2019-01-21,Proveedor A,Fideos,kg,89.22276783220076,21.61285035501249,22,2019-02-12,E2,L174-0002,89.22276783220076,,Abierto,
2019-01-24,2019-01-24,Proveedor A,Limón,ml,97.29339204170408,23.872318403351976,28,2019-02-21,D2,L173-0002,97.29339204170408,,Abierto,
2019-01-26,2019-01-26,Proveedor A,Carne de res,kg,108.56347728529711,21.034561661395838,26,2019-02-21,A1,L595-0004,108.56347728529711,,Abierto,
2019-01-26,2019-01-26,Proveedor A,Pollo entero,kg,99.23615325795939,5.815082121849455,23,2019-02-18,A2,L162-0007,99.23615325795939,,Abierto,
2019-01-29,2019-01-29,Proveedor A,Papa blanca,kg,113.23508765366822,22.292176719100734,35,2019-03-05,B2,L336-0004,113.23508765366822,,Abierto,
2019-01-30,2019-01-30,Proveedor A,Papa amarilla,kg,98.5397617520229,12.595715603584596,37,2019-03-08,B1,L057-0004,98.5397617520229,,Abierto,
2019-01-31,2019-01-31,Proveedor A,Ensalada,kg,105.8642365369144,8.495468856547543,27,2019-02-27,C2,L281-0003,105.8642365369144,,Abierto,
2019-02-01,2019-02-01,Proveedor A,Pollo entero,kg,92.93486248462082,9.53312804453976,27,2019-02-28,A2,L162-0008,92.93486248462082,,Abierto,
2019-02-03,2019-02-03,Proveedor A,Pescado blanco,kg,106.00804369592613,8.040497062572962,21,2019-02-24,D1,L189-0004,106.00804369592613,,Abierto,
2019-02-03,2019-02-03,Proveedor A,Arroz,kg,97.21348710035684,8.413295170999968,21,2019-02-24,E1,L441-0004,97.21348710035684,,Abierto,
2019-02-05,2019-02-05,Proveedor A,Carne de res,kg,109.50033437836028,12.065028170041284,25,2019-03-02,A1,L595-0005,109.50033437836028,,Abierto,
2019-02-05,2019-02-05,Proveedor A,Pollo entero,kg,106.41210878805353,20.28745324443472,25,2019-03-02,A2,L162-0009,106.41210878805353,,Abierto,
2019-02-05,2019-02-05,Proveedor A,Pollo desmenuzado,kg,111.94856766618298,10.856440734019294,39,2019-03-16,A3,L701-0002,111.94856766618298,,Abierto,
2019-02-06,2019-02-06,Proveedor A,Cebolla roja,kg,113.628121120448,19.65603089532501,30,2019-03-08,C1,L875-0003,113.628121120448,,Abierto,
2019-02-08,2019-02-08,Proveedor A,Papa blanca,kg,84.7334476369355,13.198097793925765,36,2019-03-16,B2,L336-0005,84.7334476369355,,Abierto,
2019-02-09,2019-02-09,Proveedor A,Papa amarilla,kg,89.98184799398024,10.43899452257262,35,2019-03-16,B1,L057-0005,89.98184799398024,,Abierto,
2019-02-09,2019-02-09,Proveedor A,Pollo entero,kg,82.50612813821418,23.12874906688822,22,2019-03-03,A2,L162-0010,82.50612813821418,,Abierto,
2019-02-09,2019-02-09,Proveedor A,Huevo,kg,119.25188361988987,10.130601248884956,33,2019-03-14,C4,L212-0002,119.25188361988987,,Abierto,
2019-02-10,2019-02-10,Proveedor A,Fideos,kg,81.08669684902239,6.3040918252098415,29,2019-03-11,E2,L174-0003,81.08669684902239,,Abierto,
2019-02-12,2019-02-12,Proveedor A,Espinaca,kg,110.52621165035558,13.166126855189022,35,2019-03-19,C5,L746-0002,110.52621165035558,,Abierto,
2019-02-13,2019-02-13,Proveedor A,Pollo entero,kg,102.36739227317307,17.564762209265627,30,2019-03-15,A2,L162-0011,102.36739227317307,,Abierto,
2019-02-14,2019-02-14,Proveedor A,Carne de res,kg,81.0056783310909,18.889009122614176,21,2019-03-07,A1,L595-0006,81.0056783310909,,Abierto,
2019-02-15,2019-02-15,Proveedor A,Pescado blanco,kg,109.19441235393913,22.64517112189695,33,2019-03-20,D1,L189-0005,109.19441235393913,,Abierto,
2019-02-15,2019-02-15,Proveedor A,Arroz,kg,80.06260420765892,17.72802740366814,21,2019-03-08,E1,L441-0005,80.06260420765892,,Abierto,
2019-02-16,2019-02-16,Proveedor A,Pollo entero,kg,106.09166594367758,21.912087259798135,33,2019-03-21,A2,L162-0012,106.09166594367758,,Abierto,
2019-02-16,2019-02-16,Proveedor A,Papa blanca,kg,106.9186648957773,10.50762348510837,26,2019-03-14,B2,L336-0006,106.9186648957773,,Abierto,
2019-02-18,2019-02-18,Proveedor A,Papa amarilla,kg,88.05248431289733,12.902754865286372,20,2019-03-10,B1,L057-0006,88.05248431289733,,Abierto,
2019-02-18,2019-02-18,Proveedor A,Ensalada,kg,81.51926253159414,19.91720077254024,30,2019-03-20,C2,L281-0004,81.51926253159414,,Abierto,
2019-02-21,2019-02-21,Proveedor A,Carne de res,kg,80.15279690634333,9.936477384038046,34,2019-03-27,A1,L595-0007,80.15279690634333,,Abierto,
2019-02-23,2019-02-23,Proveedor A,Pollo entero,kg,90.62331331834424,5.351047267332579,25,2019-03-20,A2,L162-0013,90.62331331834424,,Abierto,
2019-02-26,2019-02-26,Proveedor A,Arroz,kg,97.204115061192,23.075151435502843,36,2019-04-03,E1,L441-0006,97.204115061192,,Abierto,
2019-02-27,2019-02-27,Proveedor A,Papa blanca,kg,118.92312651889331,9.522506624993438,26,2019-03-25,B2,L336-0007,118.92312651889331,,Abierto,
2019-02-28,2019-02-28,Proveedor A,Pollo entero,kg,86.36100014961045,8.603915082562958,21,2019-03-21,A2,L162-0014,86.36100014961045,,Abierto,
2019-03-01,2019-03-01,Proveedor A,Carne de res,kg,115.17364080706112,21.175799691270768,33,2019-04-03,A1,L595-0008,115.17364080706112,,Abierto,
2019-03-01,2019-03-01,Proveedor A,Papa amarilla,kg,92.66198661071479,21.328215699300614,30,2019-03-31,B1,L057-0007,92.66198661071479,,Abierto,
2019-03-01,2019-03-01,Proveedor A,Pescado blanco,kg,104.8516979619844,11.680999313375384,34,2019-04-04,D1,L189-0006,104.8516979619844,,Abierto,
2019-03-01,2019-03-01,Proveedor A,Fideos,kg,105.2912861455056,8.979842779188736,28,2019-03-29,E2,L174-0004,105.2912861455056,,Abierto,
2019-03-03,2019-03-03,Proveedor A,Pollo entero,kg,88.16098662954315,18.079881846796024,36,2019-04-08,A2,L162-0015,88.16098662954315,,Abierto,
2019-03-05,2019-03-05,Proveedor A,Cebolla roja,kg,93.95560300167294,15.431987920227163,35,2019-04-09,C1,L875-0004,93.95560300167294,,Abierto,
2019-03-07,2019-03-07,Proveedor A,Pollo entero,kg,97.85547561052779,6.400070242661315,34,2019-04-10,A2,L162-0016,97.85547561052779,,Abierto,
2019-03-07,2019-03-07,Proveedor A,Ensalada,kg,94.97921599872068,12.389638680627606,20,2019-03-27,C2,L281-0005,94.97921599872068,,Abierto,
2019-03-09,2019-03-09,Proveedor A,Papa amarilla,kg,96.44766071978344,7.601613396578939,20,2019-03-29,B1,L057-0008,96.44766071978344,,Abierto,
2019-03-09,2019-03-09,Proveedor A,Papa blanca,kg,80.5752578428834,20.287067728728548,32,2019-04-10,B2,L336-0008,80.5752578428834,,Abierto,
2019-03-09,2019-03-09,Proveedor A,Arroz,kg,108.2958800013171,12.784609433835769,24,2019-04-02,E1,L441-0007,108.2958800013171,,Abierto,
