Pedido_ID,Linea_ID,Fecha,Hora inicio preparación,Hora fin preparación,Plato,Cantidad_platos,Insumo,Cantidad_insumo,Unidad,Lote_ID,Ubicación_origen,Responsable (cocinero/chef),Tiempo_total,Estado del pedido,Desperdicio registrado,Observaciones del pedido
20190101-1,1,2019-01-01,16:08,17:00,Lomo Saltado,53,Carne de res,9.54,kg,L595-0001,A1,Chef,17,Completado,0.549592631208605,
20190101-1,2,2019-01-01,16:08,17:00,Lomo Saltado,53,Papa amarilla,7.95,kg,L057-0001,B1,Chef,17,Completado,0.3247160754350953,
20190101-1,3,2019-01-01,16:08,17:00,Lomo Saltado,53,Cebolla roja,2.12,kg,L875-0001,C1,Chef,17,Completado,0.11009275380009602,
20190101-2,1,2019-01-01,17:34,12:32,Pollo a la Brasa,49,Pollo entero,19.6,kg,L162-0001,A2,Chef,16,Completado,0.8710765104392904,
20190101-2,2,2019-01-01,17:34,12:32,Pollo a la Brasa,49,Papa blanca,9.8,kg,L336-0001,B2,Chef,16,Completado,0.6027778483840324,
20190101-2,3,2019-01-01,17:34,12:32,Pollo a la Brasa,49,Ensalada,4.9,kg,L281-0001,C2,Chef,16,Completado,0.23006550350038818,
20190101-3,1,2019-01-01,16:08,17:11,Ceviche Clásico,49,Pescado blanco,9.8,kg,L189-0001,D1,Chef,7,Completado,0.4481011484963619,
20190101-3,2,2019-01-01,16:08,17:11,Ceviche Clásico,49,Limón,2.45,ml,L173-0001,D2,Chef,7,Completado,0.15251028307314518,
20190101-3,3,2019-01-01,16:08,17:11,Ceviche Clásico,49,Cebolla roja,1.96,kg,L875-0001,C1,Chef,7,Completado,0.15705573131324022,
20190101-4,1,2019-01-01,14:34,17:21,Arroz Chaufa,35,Arroz,8.75,kg,L441-0001,E1,Chef,16,Completado,0.6446527985700432,
20190101-4,2,2019-01-01,14:34,17:21,Arroz Chaufa,35,Huevo,1.75,kg,L212-0001,C4,Chef,16,Completado,0.11020732184914794,
20190101-4,3,2019-01-01,14:34,17:21,Arroz Chaufa,35,Pollo desmenuzado,2.1,kg,L701-0001,A3,Chef,16,Completado,0.20643572401902707,
20190101-5,1,2019-01-01,12:00,14:25,Tallarines Verdes,20,Fideos,4.0,kg,L174-0001,E2,Chef,12,Completado,0.34503212318909465,
20190101-5,2,2019-01-01,12:00,14:25,Tallarines Verdes,20,Espinaca,1.2,kg,L746-0001,C5,Chef,12,Completado,0.08355328293823613,
20190101-5,3,2019-01-01,12:00,14:25,Tallarines Verdes,20,Queso fresco,0.6,kg,L298-0001,C6,Chef,12,Completado,0.04281838185775178,
20190102-1,1,2019-01-02,16:58,12:21,Lomo Saltado,33,Carne de res,5.94,kg,L595-0001,A1,Chef,17,Completado,0.5689442432948931,
20190102-1,2,2019-01-02,16:58,12:21,Lomo Saltado,33,Papa amarilla,4.95,kg,L057-0001,B1,Chef,17,Completado,0.4380117527306319,
20190102-1,3,2019-01-02,16:58,12:21,Lomo Saltado,33,Cebolla roja,1.32,kg,L875-0001,C1,Chef,17,Completado,0.10296557751562553,
20190102-2,1,2019-01-02,15:27,13:29,Pollo a la Brasa,25,Pollo entero,10.0,kg,L162-0001,A2,Chef,16,Completado,0.5946070126031644,
20190102-2,2,2019-01-02,15:27,13:29,Pollo a la Brasa,25,Papa blanca,5.0,kg,L336-0001,B2,Chef,16,Completado,0.236626386410202,
20190102-2,3,2019-01-02,15:27,13:29,Pollo a la Brasa,25,Ensalada,2.5,kg,L281-0001,C2,Chef,16,Completado,0.15344467571154624,
20190102-3,1,2019-01-02,10:00,18:26,Ceviche Clásico,30,Pescado blanco,6.0,kg,L189-0001,D1,Chef,14,Completado,0.5344853157320976,
20190102-3,2,2019-01-02,10:00,18:26,Ceviche Clásico,30,Limón,1.5,ml,L173-0001,D2,Chef,14,Completado,0.13746575249307091,
20190102-3,3,2019-01-02,10:00,18:26,Ceviche Clásico,30,Cebolla roja,1.2,kg,L875-0001,C1,Chef,14,Completado,0.04850055339824573,
20190102-4,1,2019-01-02,17:26,18:36,Arroz Chaufa,16,Arroz,4.0,kg,L441-0001,E1,Chef,6,Completado,0.18876768816008388,
20190102-4,2,2019-01-02,17:26,18:36,Arroz Chaufa,16,Huevo,0.8,kg,L212-0001,C4,Chef,6,Completado,0.048205528227374145,
20190102-4,3,2019-01-02,17:26,18:36,Arroz Chaufa,16,Pollo desmenuzado,0.96,kg,L701-0001,A3,Chef,6,Completado,0.0927115989453611,
20190102-5,1,2019-01-02,15:31,17:40,Tallarines Verdes,10,Fideos,2.0,kg,L174-0001,E2,Chef,9,Completado,0.12363555228551529,
20190102-5,2,2019-01-02,15:31,17:40,Tallarines Verdes,10,Espinaca,0.6,kg,L746-0001,C5,Chef,9,Completado,0.05898415497795458,
20190102-5,3,2019-01-02,15:31,17:40,Tallarines Verdes,10,Queso fresco,0.3,kg,L298-0001,C6,Chef,9,Completado,0.029324051308958002,
20190103-1,1,2019-01-03,16:10,17:58,Lomo Saltado,38,Carne de res,6.84,kg,L595-0001,A1,Chef,6,Completado,0.5724599894703072,
20190103-1,2,2019-01-03,16:10,17:58,Lomo Saltado,38,Papa amarilla,5.7,kg,L057-0001,B1,Chef,6,Completado,0.35378183138998465,
