Fecha,Hora,Producto/Plato vendido,Cantidad,Precio unitario,Precio total,Forma de pago,Responsable de la venta,"Mesa/Canal (salón, delivery, recojo)",Número de comprobante,Datos del cliente
2019-01-01,12:46,Lomo Saltado,53,25.0,1325.0,Efectivo,Cajero,salón,,
2019-01-01,15:23,Pollo a la Brasa,49,30.0,1470.0,Efectivo,Cajero,salón,,
2019-01-01,20:24,Ceviche Clásico,49,28.0,1372.0,Efectivo,Cajero,salón,,
2019-01-01,19:28,Arroz Chaufa,35,22.0,770.0,Efectivo,Cajero,salón,,
2019-01-01,11:24,Tallarines Verdes,20,24.0,480.0,Efectivo,Cajero,salón,,
2019-01-02,14:29,Lomo Saltado,33,25.0,825.0,Efectivo,Cajero,salón,,
2019-01-02,15:22,Pollo a la Brasa,25,30.0,750.0,Efectivo,Cajero,salón,,
2019-01-02,17:44,Ceviche Clásico,30,28.0,840.0,Efectivo,Cajero,salón,,
2019-01-02,21:28,Arroz Chaufa,16,22.0,352.0,Efectivo,Cajero,salón,,
2019-01-02,14:12,Tallarines Verdes,10,24.0,240.0,Efectivo,Cajero,salón,,
2019-01-03,13:01,Lomo Saltado,38,25.0,950.0,Efectivo,Cajero,salón,,
2019-01-03,15:43,Pollo a la Brasa,45,30.0,1350.0,Efectivo,Cajero,salón,,
2019-01-03,20:31,Ceviche Clásico,29,28.0,812.0,Efectivo,Cajero,salón,,
2019-01-03,16:31,Arroz Chaufa,19,22.0,418.0,Efectivo,Cajero,salón,,
2019-01-03,17:03,Tallarines Verdes,20,24.0,480.0,Efectivo,Cajero,salón,,
2019-01-04,11:23,Lomo Saltado,43,25.0,1075.0,Efectivo,Cajero,salón,,
2019-01-04,14:10,Pollo a la Brasa,41,30.0,1230.0,Efectivo,Cajero,salón,,
2019-01-04,11:07,Ceviche Clásico,26,28.0,728.0,Efectivo,Cajero,salón,,
2019-01-04,14:37,Arroz Chaufa,30,22.0,660.0,Efectivo,Cajero,salón,,
2019-01-04,18:19,Tallarines Verdes,19,24.0,456.0,Efectivo,Cajero,salón,,
2019-01-05,11:51,Lomo Saltado,65,25.0,1625.0,Efectivo,Cajero,salón,,
2019-01-05,15:31,Pollo a la Brasa,46,30.0,1380.0,Efectivo,Cajero,salón,,
2019-01-05,17:32,Ceviche Clásico,42,28.0,1176.0,Efectivo,Cajero,salón,,
2019-01-05,13:17,Arroz Chaufa,28,22.0,616.0,Efectivo,Cajero,salón,,
2019-01-05,19:41,Tallarines Verdes,19,24.0,456.0,Efectivo,Cajero,salón,,
2019-01-06,14:29,Lomo Saltado,48,25.0,1200.0,Efectivo,Cajero,salón,,
2019-01-06,13:54,Pollo a la Brasa,32,30.0,960.0,Efectivo,Cajero,salón,,
2019-01-06,18:51,Ceviche Clásico,22,28.0,616.0,Efectivo,Cajero,salón,,
2019-01-06,12:59,Arroz Chaufa,29,22.0,638.0,Efectivo,Cajero,salón,,
2019-01-06,20:29,Tallarines Verdes,11,24.0,264.0,Efectivo,Cajero,salón,,
