id_mov,fecha,tipo_mov,id_insumo,unidad,cantidad,id_lote,id_almacen,id_ubicacion,destino_origen,Responsable,Observaciones
1,2023-01-01,Merma,101,kg,0.0456,INIT-1,1,1,Almacén,Sistema,Merma diaria por almacenamiento
2,2023-01-01,Merma,102,kg,0.024,INIT-2,1,2,Almacén,Sistema,Merma diaria por almacenamiento
3,2023-01-01,Merma,103,kg,0.0572,INIT-3,1,1,Almacén,Sistema,Merma diaria por almacenamiento
4,2023-01-01,Merma,104,kg,0.053200000000000004,INIT-4,1,3,Almacén,Sistema,Merma diaria por almacenamiento
5,2023-01-01,Merma,105,kg,0.0752,INIT-5,1,2,Almacén,Sistema,Merma diaria por almacenamiento
6,2023-01-01,Merma,106,kg,0.046,INIT-6,1,2,Almacén,Sistema,Merma diaria por almacenamiento
7,2023-01-01,Merma,107,kg,0.054400000000000004,INIT-7,1,4,Almacén,Sistema,Merma diaria por almacenamiento
8,2023-01-01,Merma,108,kg,0.0344,INIT-8,1,2,Almacén,Sistema,Merma diaria por almacenamiento
9,2023-01-01,Merma,109,kg,0.07680000000000001,INIT-9,1,1,Almacén,Sistema,Merma diaria por almacenamiento
10,2023-01-01,Merma,110,kg,0.0212,INIT-10,1,1,Almacén,Sistema,Merma diaria por almacenamiento
11,2023-01-01,Merma,111,unid,0.0468,INIT-11,1,4,Almacén,Sistema,Merma diaria por almacenamiento
12,2023-01-01,Merma,112,kg,0.058,INIT-12,1,1,Almacén,Sistema,Merma diaria por almacenamiento
13,2023-01-01,Merma,113,kg,0.0772,INIT-13,1,1,Almacén,Sistema,Merma diaria por almacenamiento
14,2023-01-01,Merma,114,kg,0.06720000000000001,INIT-14,1,2,Almacén,Sistema,Merma diaria por almacenamiento
15,2023-01-01,Merma,115,kg,0.0244,INIT-15,1,4,Almacén,Sistema,Merma diaria por almacenamiento
16,2023-01-01,Merma,116,kg,0.0316,INIT-16,1,1,Almacén,Sistema,Merma diaria por almacenamiento
17,2023-01-01,Merma,117,L,0.033600000000000005,INIT-17,1,2,Almacén,Sistema,Merma diaria por almacenamiento
18,2023-01-01,Merma,118,L,0.0752,INIT-18,1,1,Almacén,Sistema,Merma diaria por almacenamiento
19,2023-01-01,Merma,119,L,0.030000000000000002,INIT-19,1,4,Almacén,Sistema,Merma diaria por almacenamiento
20,2023-01-01,Merma,120,kg,0.048400000000000006,INIT-20,1,2,Almacén,Sistema,Merma diaria por almacenamiento
21,2023-01-01,Merma,121,kg,0.06520000000000001,INIT-21,1,2,Almacén,Sistema,Merma diaria por almacenamiento
22,2023-01-01,Merma,122,kg,0.057600000000000005,INIT-22,1,2,Almacén,Sistema,Merma diaria por almacenamiento
23,2023-01-01,Merma,101,kg,0.045581760000000006,INIT-1,1,1,Almacén,Sistema,Merma diaria por almacenamiento
24,2023-01-01,Merma,102,kg,0.023990400000000002,INIT-2,1,2,Almacén,Sistema,Merma diaria por almacenamiento
25,2023-01-01,Merma,103,kg,0.057177120000000005,INIT-3,1,1,Almacén,Sistema,Merma diaria por almacenamiento
26,2023-01-01,Merma,104,kg,0.05317872,INIT-4,1,3,Almacén,Sistema,Merma diaria por almacenamiento
27,2023-01-01,Merma,105,kg,0.07516992,INIT-5,1,2,Almacén,Sistema,Merma diaria por almacenamiento
28,2023-01-01,Merma,106,kg,0.0459816,INIT-6,1,2,Almacén,Sistema,Merma diaria por almacenamiento
29,2023-01-01,Merma,107,kg,0.05437824000000001,INIT-7,1,4,Almacén,Sistema,Merma diaria por almacenamiento
30,2023-01-01,Merma,108,kg,0.03438624,INIT-8,1,2,Almacén,Sistema,Merma diaria por almacenamiento
31,2023-01-01,Merma,109,kg,0.07676928000000001,INIT-9,1,1,Almacén,Sistema,Merma diaria por almacenamiento
32,2023-01-01,Merma,110,kg,0.021191520000000002,INIT-10,1,1,Almacén,Sistema,Merma diaria por almacenamiento
33,2023-01-01,Merma,111,unid,0.04678128,INIT-11,1,4,Almacén,Sistema,Merma diaria por almacenamiento
34,2023-01-01,Merma,112,kg,0.05797680000000001,INIT-12,1,1,Almacén,Sistema,Merma diaria por almacenamiento
35,2023-01-01,Merma,113,kg,0.07716912000000001,INIT-13,1,1,Almacén,Sistema,Merma diaria por almacenamiento
36,2023-01-01,Merma,114,kg,0.06717312,INIT-14,1,2,Almacén,Sistema,Merma diaria por almacenamiento
37,2023-01-01,Merma,115,kg,0.02439024,INIT-15,1,4,Almacén,Sistema,Merma diaria por almacenamiento
38,2023-01-01,Merma,116,kg,0.03158736,INIT-16,1,1,Almacén,Sistema,Merma diaria por almacenamiento
39,2023-01-01,Merma,117,L,0.03358656,INIT-17,1,2,Almacén,Sistema,Merma diaria por almacenamiento
40,2023-01-01,Merma,118,L,0.07516992,INIT-18,1,1,Almacén,Sistema,Merma diaria por almacenamiento
41,2023-01-01,Merma,119,L,0.029988,INIT-19,1,4,Almacén,Sistema,Merma diaria por almacenamiento
42,2023-01-01,Merma,120,kg,0.04838064,INIT-20,1,2,Almacén,Sistema,Merma diaria por almacenamiento
43,2023-01-01,Merma,121,kg,0.06517392,INIT-21,1,2,Almacén,Sistema,Merma diaria por almacenamiento
44,2023-01-01,Merma,122,kg,0.057576959999999996,INIT-22,1,2,Almacén,Sistema,Merma diaria por almacenamiento
45,2023-01-01,Consumo,101,kg,30.779999999999998,INIT-1,1,1,Produccion,Sistema,Consumo FIFO para producción
46,2023-01-01,Consumo,102,kg,25.65,INIT-2,1,2,Produccion,Sistema,Consumo FIFO para producción
47,2023-01-01,Consumo,103,kg,6.84,INIT-3,1,1,Produccion,Sistema,Consumo FIFO para producción
48,2023-01-01,Consumo,116,kg,1.71,INIT-16,1,1,Produccion,Sistema,Consumo FIFO para producción
49,2023-01-01,Consumo,117,L,3.42,INIT-17,1,2,Produccion,Sistema,Consumo FIFO para producción
50,2023-01-01,Consumo,104,kg,66.4,INIT-4,1,3,Produccion,Sistema,Consumo FIFO para producción
51,2023-01-01,Consumo,105,kg,33.2,INIT-5,1,2,Produccion,Sistema,Consumo FIFO para producción
52,2023-01-01,Consumo,106,kg,16.6,INIT-6,1,2,Produccion,Sistema,Consumo FIFO para producción
53,2023-01-01,Consumo,117,L,3.3200000000000003,INIT-17,1,2,Produccion,Sistema,Consumo FIFO para producción
54,2023-01-01,Consumo,107,kg,28.200000000000003,INIT-7,1,4,Produccion,Sistema,Consumo FIFO para producción
55,2023-01-01,Consumo,108,kg,7.050000000000001,INIT-8,1,2,Produccion,Sistema,Consumo FIFO para producción
56,2023-01-01,Consumo,103,kg,5.64,INIT-3,1,1,Produccion,Sistema,Consumo FIFO para producción
57,2023-01-01,Consumo,110,kg,29.0,INIT-10,1,1,Produccion,Sistema,Consumo FIFO para producción
58,2023-01-01,Consumo,111,unid,116.0,INIT-11,1,4,Produccion,Sistema,Consumo FIFO para producción
59,2023-01-01,Consumo,112,kg,6.96,INIT-12,1,1,Produccion,Sistema,Consumo FIFO para producción
60,2023-01-01,Consumo,117,L,1.74,INIT-17,1,2,Produccion,Sistema,Consumo FIFO para producción
61,2023-01-01,Consumo,113,kg,20.200000000000003,INIT-13,1,1,Produccion,Sistema,Consumo FIFO para producción
62,2023-01-01,Consumo,114,kg,6.06,INIT-14,1,2,Produccion,Sistema,Consumo FIFO para producción
