pedido_ID,linea_ID,fecha,hora_inicio_preparacion,hora_fin_preparacion,id_plato,id_insumo,cantidad_insumo,unidad,id_lote,id_ubicacion,responsable,tiempo_total,estado_pedido,desperdicio_registrado,observaciones
PD-20210101,,2021-01-01,,,,101,8.8,kg,,,Sistema,,Terminado,0.660867662284466,
PD-20210101,,2021-01-01,,,,102,5.6,kg,,,Sistema,,Terminado,0.34151512676273993,
PD-20210101,,2021-01-01,,,,103,1.8399999999999999,kg,,,Sistema,,Terminado,0.10109141260699138,
PD-20210101,,2021-01-01,,,,116,0.39,kg,,,Sistema,,Terminado,0.029125435224163342,
PD-20210101,,2021-01-01,,,,117,1.8049999999999997,L,,,Sistema,,Terminado,0.09459979186244546,
PD-20210101,,2021-01-01,,,,104,8.4,kg,,,Sistema,,Terminado,0.3626863630765457,
PD-20210101,,2021-01-01,,,,105,5.5200000000000005,kg,,,Sistema,,Terminado,0.319065297338261,
PD-20210101,,2021-01-01,,,,106,2.1,kg,,,Sistema,,Terminado,0.14994783774583134,
PD-20210101,,2021-01-01,,,,107,4.28,kg,,,Sistema,,Terminado,0.17646967839620317,
PD-20210101,,2021-01-01,,,,108,0.8,kg,,,Sistema,,Terminado,0.05074823183966695,
PD-20210101,,2021-01-01,,,,110,10.67,kg,,,Sistema,,Terminado,0.6805172559114243,
PD-20210101,,2021-01-01,,,,111,23.0,unid,,,Sistema,,Terminado,1.7742584223531912,
PD-20210101,,2021-01-01,,,,112,4.34,kg,,,Sistema,,Terminado,0.22333029225637577,
PD-20210101,,2021-01-01,,,,113,2.4000000000000004,kg,,,Sistema,,Terminado,0.12276831486822687,
PD-20210101,,2021-01-01,,,,114,0.72,kg,,,Sistema,,Terminado,0.04148592915858273,
PD-20210101,,2021-01-01,,,,115,0.6399999999999999,kg,,,Sistema,,Terminado,0.034737021477670785,
PD-20210101,,2021-01-01,,,,109,0.7999999999999999,kg,,,Sistema,,Terminado,0.055563067606058454,
PD-20210101,,2021-01-01,,,,119,0.8,L,,,Sistema,,Terminado,0.05253606646820959,
PD-20210101,,2021-01-01,,,,120,0.35000000000000003,kg,,,Sistema,,Terminado,0.02462489453068773,
PD-20210101,,2021-01-01,,,,121,0.12,kg,,,Sistema,,Terminado,0.008736200597753707,
PD-20210101,,2021-01-01,,,,122,0.04,kg,,,Sistema,,Terminado,0.0030767698123746368,
PD-20210102,,2021-01-02,,,,101,6.4,kg,,,Sistema,,Terminado,0.50542175756892,
PD-20210102,,2021-01-02,,,,102,4.46,kg,,,Sistema,,Terminado,0.3020645614756712,
PD-20210102,,2021-01-02,,,,103,1.72,kg,,,Sistema,,Terminado,0.10742769239099711,
PD-20210102,,2021-01-02,,,,116,0.25,kg,,,Sistema,,Terminado,0.013669763733964502,
PD-20210102,,2021-01-02,,,,117,1.575,L,,,Sistema,,Terminado,0.06579650707603583,
PD-20210102,,2021-01-02,,,,104,8.0,kg,,,Sistema,,Terminado,0.4381234905485232,
PD-20210102,,2021-01-02,,,,105,5.54,kg,,,Sistema,,Terminado,0.33215909272097,
PD-20210102,,2021-01-02,,,,106,2.0,kg,,,Sistema,,Terminado,0.09691676075095094,
PD-20210102,,2021-01-02,,,,107,6.4399999999999995,kg,,,Sistema,,Terminado,0.30220003743213925,
PD-20210102,,2021-01-02,,,,108,1.25,kg,,,Sistema,,Terminado,0.07542082756787584,
PD-20210102,,2021-01-02,,,,110,7.760000000000001,kg,,,Sistema,,Terminado,0.4922646747387897,
PD-20210102,,2021-01-02,,,,111,18.0,unid,,,Sistema,,Terminado,0.8927409015752579,
PD-20210102,,2021-01-02,,,,112,2.7800000000000002,kg,,,Sistema,,Terminado,0.17651770955953092,
PD-20210102,,2021-01-02,,,,113,2.8000000000000003,kg,,,Sistema,,Terminado,0.21283807595392107,
