id_proveedor,nombre_proveedor,ruc,telefono,email,tipo,distrito,numero_contacto
1,Hortalizas Rimac A,11846650721,950722831,contact@hortalizasrimaca.com,Especializado,Miraflores,929957181
2,Lácteos Andinos B,72310757475,915907854,contact@lácteosandinosb.com,Local,Miraflores,998417483
3,Pesquera San Pedro C,02653954607,986772423,contact@pesquerasanpedroc.com,Mayorista,Pueblo Libre,940463190
4,Avícola Surquillo D,00785553136,978796352,contact@avícolasurquillod.com,Especializado,Magdalena del Mar,921837588
5,Frutas Frescas E,66098217330,985416072,contact@frutasfrescase.com,Mayorista,Magdalena del Mar,933775001
6,Frutas Frescas F,00446425316,955329029,contact@frutasfrescasf.com,Local,La Molina,921441525
7,Lácteos Andinos G,08009855741,903868908,contact@lácteosandinosg.com,Local,Pueblo Libre,955333315
8,Avícola Surquillo H,51739611211,970964556,contact@avícolasurquilloh.com,Especializado,San Borja,939344675
9,Lácteos Andinos I,53408088654,957848634,contact@lácteosandinosi.com,Local,Miraflores,948890607
10,Distribuidora Gourmet J,56393760633,953289610,contact@distribuidoragourmetj.com,Especializado,Santiago de Surco,993661705
