id_venta,fecha,hora,id_plato,cantidad,precio_unitario,precio_total,forma_de_pago,responsable_de_venta,canal,numero_comprobante,datos_cliente,temporada
V120210101,2021-01-01,00:00:00,1,30.0,26.0,780.0,Yape,Luis,Take-out,33290159,,verano
V220210101,2021-01-01,00:00:00,2,21.0,32.0,672.0,Efectivo,María,Delivery,72669210,,verano
V320210101,2021-01-01,00:00:00,3,16.0,30.0,480.0,Efectivo,José,Mesa,89967522,,verano
V420210101,2021-01-01,00:00:00,4,23.0,24.0,552.0,Efectivo,Luis,Delivery,51217053,,verano
V520210101,2021-01-01,00:00:00,5,12.0,25.0,300.0,Yape,Luis,Take-out,80374445,,verano
V620210101,2021-01-01,00:00:00,6,16.0,24.0,384.0,Efectivo,María,Take-out,04518557,,verano
V720210101,2021-01-01,00:00:00,7,10.0,22.0,220.0,Efectivo,José,Take-out,90111373,,verano
V820210101,2021-01-01,00:00:00,8,9.0,28.0,252.0,Yape,María,Mesa,26513551,,verano
V920210101,2021-01-01,00:00:00,9,5.0,18.0,90.0,Yape,Luis,Mesa,67685800,,verano
V1020210101,2021-01-01,00:00:00,10,6.0,15.0,90.0,Yape,María,Take-out,25608563,,verano
V1120210101,2021-01-01,00:00:00,11,6.0,28.0,168.0,Efectivo,José,Delivery,46144318,,verano
V1220210101,2021-01-01,00:00:00,12,2.0,18.0,36.0,Tarjeta,María,Delivery,13534220,,verano
V120210102,2021-01-02,00:00:00,1,18.0,26.0,468.0,Tarjeta,José,Take-out,49989711,,verano
V220210102,2021-01-02,00:00:00,2,20.0,32.0,640.0,Yape,José,Delivery,84034250,,verano
V320210102,2021-01-02,00:00:00,3,25.0,30.0,750.0,Tarjeta,José,Take-out,86458487,,verano
V420210102,2021-01-02,00:00:00,4,18.0,24.0,432.0,Tarjeta,María,Mesa,45150572,,verano
V520210102,2021-01-02,00:00:00,5,14.0,25.0,350.0,Yape,Ana,Mesa,93739715,,verano
V620210102,2021-01-02,00:00:00,6,9.0,24.0,216.0,Yape,Ana,Mesa,07851819,,verano
