fecha,anio,work_center_id,work_center_name,linea,min_disp_dia_base,unidades_paralelas,eficiencia,min_disp_total
2021-01-01,2021,WC_SARTEN,Sartén,Caliente,480,2,0.908,871.6
2021-01-01,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.889,426.5
2021-01-01,2021,WC_HORNO,Horno,Caliente,480,1,0.882,423.2
2021-01-01,2021,WC_TABLA,Tabla,Fria,480,2,0.923,886.4
2021-01-01,2021,WC_EMPLATE,Emplatado,General,480,2,0.99,950.7
2021-01-02,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-02,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-02,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-02,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-02,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-03,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-03,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-03,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-03,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-03,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-04,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-04,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-04,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-04,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-04,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-05,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-05,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-05,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-05,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-05,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-06,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-06,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-06,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-06,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-06,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-07,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-07,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-07,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-07,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-07,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-08,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-08,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-08,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-08,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-08,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-09,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-09,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-09,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-09,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-09,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-10,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-10,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-10,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-10,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-10,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-11,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-11,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-11,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-11,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-11,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-12,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-12,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-12,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-12,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-12,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-13,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-13,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-13,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-13,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-13,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-14,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-14,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-14,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-14,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-14,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-15,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
2021-01-15,2021,WC_PLANCHA,Plancha,Caliente,480,1,0.9,432.0
2021-01-15,2021,WC_HORNO,Horno,Caliente,480,1,0.92,441.6
2021-01-15,2021,WC_TABLA,Tabla,Fria,480,2,0.93,892.8
2021-01-15,2021,WC_EMPLATE,Emplatado,General,480,2,0.95,912.0
2021-01-16,2021,WC_SARTEN,Sartén,Caliente,480,2,0.9,864.0
